                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.45107,                0.44411,                 1.0324,                0.80089,                0.22222,                0.20921,                0.07478,                 2.5444,                 2.3382,                 4.0263,             0.00057778,             0.00057778,             0.00057778
                     36,                0.44214,                0.47135,                 1.0462,                0.32202,                0.22222,                0.18859,                0.07298,                 2.5956,                 2.5753,                 4.0792,             0.00054478,             0.00054478,             0.00054478
                     37,                0.40935,                0.41278,                  1.007,                0.40461,                0.23632,                0.24673,                0.08081,                 2.5383,                 2.4368,                   3.54,             0.00051177,             0.00051177,             0.00051177
                     38,                0.42037,                0.40388,                  1.028,                0.29494,                0.22222,                0.24078,                0.08989,                 2.3056,                 2.3707,                 2.9785,             0.00047876,             0.00047876,             0.00047876
                     39,                0.42217,                0.41315,                 1.0126,                0.43472,                0.19444,                0.27527,                0.09498,                  2.219,                 2.3079,                 2.7483,             0.00044576,             0.00044576,             0.00044576
                     40,                0.42546,                0.39459,                 1.0101,                0.20137,                0.19444,                0.18884,                0.08397,                 2.3286,                 2.3475,                 2.8177,             0.00041275,             0.00041275,             0.00041275
                     41,                0.36225,                0.44502,                0.98532,                0.78155,                0.22222,                0.20502,                0.08408,                 2.5054,                 2.2397,                 3.8966,             0.00037974,             0.00037974,             0.00037974
                     42,                0.31223,                0.33421,                0.97856,                0.73265,                0.19444,                0.16061,                0.07076,                 2.5779,                 2.4453,                 4.9751,             0.00034674,             0.00034674,             0.00034674
                     43,                0.29926,                0.35216,                0.97892,                0.78003,                0.22222,                0.18517,                 0.0661,                 2.6608,                 2.2249,                 5.2069,             0.00031373,             0.00031373,             0.00031373
                     44,                0.26892,                 0.2896,                0.93126,                0.80872,                0.22222,                0.19262,                0.07348,                  2.625,                 2.2066,                  4.811,             0.00028072,             0.00028072,             0.00028072
                     45,                0.25761,                0.27785,                0.93394,                 0.3396,                   0.25,                0.20114,                0.06612,                 2.7013,                 2.2963,                 4.6016,             0.00024772,             0.00024772,             0.00024772
                     46,                0.23904,                0.27367,                0.89711,                0.27493,                0.19444,                0.20135,                0.06775,                 2.6807,                 2.4474,                 4.6285,             0.00021471,             0.00021471,             0.00021471
                     47,                0.24902,                0.27744,                0.91736,                0.86037,                0.22222,                0.21963,                0.08655,                 2.4589,                 2.2647,                 4.1475,              0.0001817,              0.0001817,              0.0001817
                     48,                0.23905,                0.25279,                0.90646,                0.34234,                0.24174,                0.22352,                0.09929,                  2.348,                  2.464,                 3.6363,              0.0001487,              0.0001487,              0.0001487
                     49,                0.23046,                0.25112,                0.89332,                0.33559,                 0.2271,                0.23675,                0.09623,                 2.3398,                 2.4649,                 3.6147,             0.00011569,             0.00011569,             0.00011569
                     50,                0.22575,                0.24786,                 0.9142,                0.84831,                   0.25,                0.24372,                0.09456,                 2.3452,                 2.3445,                 3.6568,             8.2683e-05,             8.2683e-05,             8.2683e-05
